ISO_country_code,Country,Sub_national_region,World_region,MPI_National,MPI_Regional,Headcount_Ratio_Regional,Intensity_of_deprivation_Regional
BEN,Benin,Ouðmð,Sub-Saharan Africa,0.307,0.238,51.6,46.1
BEN,Benin,Plateau,Sub-Saharan Africa,0.307,0.347,71.8,48.3
BEN,Benin,Zou,Sub-Saharan Africa,0.307,0.334,67.3,49.7
BFA,Burkina Faso,Boucle de mouhoun,Sub-Saharan Africa,0.535,0.591,91.9,64.3
BFA,Burkina Faso,Cascades,Sub-Saharan Africa,0.535,0.493,84.4,58.4
BFA,Burkina Faso,Centre,Sub-Saharan Africa,0.535,0.207,43.9,47.3
BFA,Burkina Faso,Centre-est,Sub-Saharan Africa,0.535,0.58,91.6,63.3
BFA,Burkina Faso,Centre-nord,Sub-Saharan Africa,0.535,0.575,93.6,61.4
BFA,Burkina Faso,Centre-ouest,Sub-Saharan Africa,0.535,0.554,86.6,64
BFA,Burkina Faso,Centre-sud,Sub-Saharan Africa,0.535,0.513,86.8,59.1
BFA,Burkina Faso,Est,Sub-Saharan Africa,0.535,0.698,96.7,72.2
BFA,Burkina Faso,Hauts basins,Sub-Saharan Africa,0.535,0.459,74.9,61.3
BFA,Burkina Faso,Nord,Sub-Saharan Africa,0.535,0.581,89.2,65.1
BFA,Burkina Faso,Plateau central,Sub-Saharan Africa,0.535,0.524,87.6,59.8
BFA,Burkina Faso,Sahel,Sub-Saharan Africa,0.535,0.69,97,71.1
BFA,Burkina Faso,Sud-ouest,Sub-Saharan Africa,0.535,0.655,92.4,70.8
BGD,Bangladesh,Barisal,South Asia,0.196,0.224,46.5,48.1
BGD,Bangladesh,Chittagong,South Asia,0.196,0.186,38.9,47.9
BGD,Bangladesh,Dhaka,South Asia,0.196,0.174,36.6,47.6
BGD,Bangladesh,Khulna,South Asia,0.196,0.156,35.7,43.7
BGD,Bangladesh,Rajshahi,South Asia,0.196,0.192,41.4,46.3
BGD,Bangladesh,Rangpur,South Asia,0.196,0.206,45.7,45.1
BGD,Bangladesh,Sylhet,South Asia,0.196,0.32,61.9,51.8
BLZ,Belize,Corozal,Latin America and Caribbean,0.018,0.026,6.2,41.6
BLZ,Belize,Orange Walk,Latin America and Caribbean,0.018,0.019,4.4,42.6
BLZ,Belize,Belize (excluding Belize City South Side),Latin America and Caribbean,0.018,0.005,1.4,37.5
BLZ,Belize,Stann Creek,Latin America and Caribbean,0.018,0.013,3.6,36.2
BLZ,Belize,Toledo,Latin America and Caribbean,0.018,0.019,4.9,39.8
BLZ,Belize,Cayo,Latin America and Caribbean,0.018,0.054,13.6,39.8
BLZ,Belize,Belize City South Side,Latin America and Caribbean,0.018,0.005,1.3,35.7
BOL,"Bolivia, Plurinational State of",Chuquisaca,Latin America and Caribbean,0.089,0.145,31.8,45.4
BOL,"Bolivia, Plurinational State of",La Paz,Latin America and Caribbean,0.089,0.077,18.4,41.8
BOL,"Bolivia, Plurinational State of",Cochabamba,Latin America and Caribbean,0.089,0.105,23.3,45
BOL,"Bolivia, Plurinational State of",Oruro,Latin America and Caribbean,0.089,0.073,17.2,42.3
BOL,"Bolivia, Plurinational State of",Potosð,Latin America and Caribbean,0.089,0.168,36.2,46.3
BOL,"Bolivia, Plurinational State of",Tarija,Latin America and Caribbean,0.089,0.081,18.4,43.9
BOL,"Bolivia, Plurinational State of",Santa Cruz,Latin America and Caribbean,0.089,0.043,10.4,40.9
BOL,"Bolivia, Plurinational State of",Beni,Latin America and Caribbean,0.089,0.099,23.3,42.5
BOL,"Bolivia, Plurinational State of",Pando,Latin America and Caribbean,0.089,0.087,21.8,39.8
BRA,Brazil,Acre,Latin America and Caribbean,0.021,0.072,15.6,46.4
BRA,Brazil,Alagoas,Latin America and Caribbean,0.021,0.042,9.4,44
BRA,Brazil,Amapð,Latin America and Caribbean,0.021,0.022,5.1,42.9
BRA,Brazil,Amazonas,Latin America and Caribbean,0.021,0.044,10.3,42.7
BRA,Brazil,Bahia,Latin America and Caribbean,0.021,0.029,7,41.9
BRA,Brazil,Cearð,Latin America and Caribbean,0.021,0.029,7,42.1
BRA,Brazil,Distrito Federal,Latin America and Caribbean,0.021,0.008,2.3,35
BRA,Brazil,Espðrito Santo,Latin America and Caribbean,0.021,0.018,4.8,36.9
BRA,Brazil,Goiðs,Latin America and Caribbean,0.021,0.017,4.1,40.5
BRA,Brazil,Maranhðo,Latin America and Caribbean,0.021,0.046,10.2,45.7
BRA,Brazil,Mato Grosso,Latin America and Caribbean,0.021,0.019,4.5,41.6
BRA,Brazil,Mato Grosso do Sul,Latin America and Caribbean,0.021,0.019,4.3,43
BRA,Brazil,Minas Gerais,Latin America and Caribbean,0.021,0.021,5.4,38.8
BRA,Brazil,Paranð,Latin America and Caribbean,0.021,0.016,4,38.7
BRA,Brazil,Paraðba,Latin America and Caribbean,0.021,0.032,7.6,41.9
BRA,Brazil,Parð,Latin America and Caribbean,0.021,0.035,7.8,45
BRA,Brazil,Pernambuco,Latin America and Caribbean,0.021,0.027,6.5,42.2
BRA,Brazil,Piauð,Latin America and Caribbean,0.021,0.039,8.8,43.9
BRA,Brazil,Rio Grande do Norte,Latin America and Caribbean,0.021,0.03,7.2,41.3
BRA,Brazil,Rio Grande do Sul,Latin America and Caribbean,0.021,0.012,3.2,38.9
BRA,Brazil,Rio de Janeiro,Latin America and Caribbean,0.021,0.011,2.9,37.1
BRA,Brazil,Rondðnia,Latin America and Caribbean,0.021,0.024,5.5,43.6
BRA,Brazil,Roraima,Latin America and Caribbean,0.021,0.029,7.1,40.4
BRA,Brazil,Santa Catarina,Latin America and Caribbean,0.021,0.019,4.9,38.6
BRA,Brazil,Sergipe,Latin America and Caribbean,0.021,0.034,8,41.9
BRA,Brazil,Sðo Paulo,Latin America and Caribbean,0.021,0.012,3.4,35.4
BRA,Brazil,Tocantins,Latin America and Caribbean,0.021,0.03,7.3,41.2
BTN,Bhutan,Bumthang,South Asia,0.119,0.042,10.7,39
BTN,Bhutan,Chukha,South Asia,0.119,0.121,26.1,46.6
BTN,Bhutan,Dagana,South Asia,0.119,0.222,48.8,45.5
BTN,Bhutan,Haa,South Asia,0.119,0.059,14.9,39.8
BTN,Bhutan,Lhuntse,South Asia,0.119,0.151,36.1,41.7
BTN,Bhutan,Mongar,South Asia,0.119,0.165,37.4,44.1
BTN,Bhutan,Paro,South Asia,0.119,0.026,6.5,39.3
BTN,Bhutan,Pemagatshel,South Asia,0.119,0.128,31,41.2
BTN,Bhutan,Punakha,South Asia,0.119,0.088,19.5,45.2
BTN,Bhutan,Samdrup Jongkhar,South Asia,0.119,0.149,34.5,43.2
BTN,Bhutan,Samtse,South Asia,0.119,0.197,43.2,45.6
BTN,Bhutan,Sarpang,South Asia,0.119,0.102,23.3,43.9
BTN,Bhutan,Thimphu,South Asia,0.119,0.016,4.3,37.8
BTN,Bhutan,Trashigang,South Asia,0.119,0.132,30.2,43.8
BTN,Bhutan,Trashiyangtse,South Asia,0.119,0.121,29.3,41.4
BTN,Bhutan,Trongsa,South Asia,0.119,0.148,34.5,42.8
BTN,Bhutan,Tsirang,South Asia,0.119,0.196,46,42.6
BTN,Bhutan,Wangdi,South Asia,0.119,0.099,22.7,43.5
BTN,Bhutan,Zhemgang,South Asia,0.119,0.184,42.1,43.8
CAF,Central African Republic,Ombella-M'poko,Sub-Saharan Africa,0.43,0.403,76.6,52.7
CAF,Central African Republic,Lobaye,Sub-Saharan Africa,0.43,0.494,87.1,56.7
CAF,Central African Republic,Mambðrð-Kadði,Sub-Saharan Africa,0.43,0.497,85.3,58.3
CAF,Central African Republic,Nana-Mambðrð,Sub-Saharan Africa,0.43,0.52,88.5,58.8
CAF,Central African Republic,Sangha-Mbaðrð,Sub-Saharan Africa,0.43,0.505,85.8,58.9
CAF,Central African Republic,Ouham-Pendð,Sub-Saharan Africa,0.43,0.479,86.1,55.6
CAF,Central African Republic,Ouham,Sub-Saharan Africa,0.43,0.533,90,59.2
CAF,Central African Republic,Kðmo,Sub-Saharan Africa,0.43,0.501,86.7,57.8
CAF,Central African Republic,Nana-Grðbizi,Sub-Saharan Africa,0.43,0.419,78.7,53.2
CAF,Central African Republic,Ouaka,Sub-Saharan Africa,0.43,0.471,85,55.5
CAF,Central African Republic,Haute-Kotto,Sub-Saharan Africa,0.43,0.42,77.7,54
CAF,Central African Republic,Bamingui-Bangoran,Sub-Saharan Africa,0.43,0.364,72,50.6
CAF,Central African Republic,Basse-Kotto,Sub-Saharan Africa,0.43,0.544,92.4,58.9
CAF,Central African Republic,Mbomou,Sub-Saharan Africa,0.43,0.491,89.7,54.8
CAF,Central African Republic,Haut-Mbomou,Sub-Saharan Africa,0.43,0.418,83.3,50.2
CAF,Central African Republic,Bangui,Sub-Saharan Africa,0.43,0.197,42.9,45.8
CHN,China,East,East Asia and the Pacific,0.017,0.008,1.9,40.6
CHN,China,Central,East Asia and the Pacific,0.017,0.013,3.2,40.5
CHN,China,West,East Asia and the Pacific,0.017,0.034,8.1,41.9
CIV,Cote d'Ivoire,Centre,Sub-Saharan Africa,0.31,0.359,65.6,54.8
CIV,Cote d'Ivoire,Centre-Est,Sub-Saharan Africa,0.31,0.297,57.1,52
CIV,Cote d'Ivoire,Centre-Nord,Sub-Saharan Africa,0.31,0.322,62.5,51.6
CIV,Cote d'Ivoire,Centre-Ouest,Sub-Saharan Africa,0.31,0.334,63.3,52.7
CIV,Cote d'Ivoire,Nord,Sub-Saharan Africa,0.31,0.477,78,61.2
CIV,Cote d'Ivoire,Nord-Est,Sub-Saharan Africa,0.31,0.374,69.3,54
CIV,Cote d'Ivoire,Nord-Ouest,Sub-Saharan Africa,0.31,0.518,85.6,60.5
CIV,Cote d'Ivoire,Ouest,Sub-Saharan Africa,0.31,0.38,72,52.7
CIV,Cote d'Ivoire,Sud sans Abidjan,Sub-Saharan Africa,0.31,0.264,53,49.9
CIV,Cote d'Ivoire,Sud-ouest,Sub-Saharan Africa,0.31,0.394,75.2,52.4
CIV,Cote d'Ivoire,Ville d'Abidjan,Sub-Saharan Africa,0.31,0.109,25.2,43.1
CMR,Cameroon,Adamaoua,Sub-Saharan Africa,0.248,0.269,51.1,52.7
CMR,Cameroon,Centre (sans Yaoundð),Sub-Saharan Africa,0.248,0.179,41.8,42.7
CMR,Cameroon,Douala,Sub-Saharan Africa,0.248,0.024,6.7,36.4
CMR,Cameroon,Est,Sub-Saharan Africa,0.248,0.274,56.1,48.9
CMR,Cameroon,Extrðme-Nord,Sub-Saharan Africa,0.248,0.54,86.7,62.3
CMR,Cameroon,Littoral (sans Douala),Sub-Saharan Africa,0.248,0.091,19.9,45.5
CMR,Cameroon,Nord,Sub-Saharan Africa,0.248,0.458,77.3,59.3
CMR,Cameroon,Nord-Ouest,Sub-Saharan Africa,0.248,0.167,38.8,43.1
CMR,Cameroon,Ouest,Sub-Saharan Africa,0.248,0.146,35.1,41.8
CMR,Cameroon,Sud,Sub-Saharan Africa,0.248,0.131,30.8,42.4
CMR,Cameroon,Sud-Ouest,Sub-Saharan Africa,0.248,0.129,29.3,44
CMR,Cameroon,Yaoundð,Sub-Saharan Africa,0.248,0.026,6.5,40.3
COD,"Congo, Democratic Republic of the",Kinshasa,Sub-Saharan Africa,0.401,0.102,23.4,43.6
COD,"Congo, Democratic Republic of the",Bandundu,Sub-Saharan Africa,0.401,0.435,83.7,52
COD,"Congo, Democratic Republic of the",Bas-Congo,Sub-Saharan Africa,0.401,0.393,74.2,53
COD,"Congo, Democratic Republic of the",ðquateur,Sub-Saharan Africa,0.401,0.48,87.5,54.8
COD,"Congo, Democratic Republic of the",Kasað-Occidental,Sub-Saharan Africa,0.401,0.49,87.1,56.2
COD,"Congo, Democratic Republic of the",Kasað-Oriental,Sub-Saharan Africa,0.401,0.431,80.7,53.4
COD,"Congo, Democratic Republic of the",Katanga,Sub-Saharan Africa,0.401,0.4,72.4,55.2
COD,"Congo, Democratic Republic of the",Maniema,Sub-Saharan Africa,0.401,0.409,78,52.4
COD,"Congo, Democratic Republic of the",Nord-Kivu,Sub-Saharan Africa,0.401,0.349,67,52.1
COD,"Congo, Democratic Republic of the",Orientale,Sub-Saharan Africa,0.401,0.401,77.4,51.8
COD,"Congo, Democratic Republic of the",Sud-Kivu,Sub-Saharan Africa,0.401,0.462,82.9,55.8
COG,"Congo, Republic of",Kouilou,Sub-Saharan Africa,0.181,0.352,73.5,47.9
COG,"Congo, Republic of",Niari,Sub-Saharan Africa,0.181,0.238,52,45.7
COG,"Congo, Republic of",Lðkoumou,Sub-Saharan Africa,0.181,0.323,64.1,50.4
COG,"Congo, Republic of",Bouenza,Sub-Saharan Africa,0.181,0.274,56.2,48.7
COG,"Congo, Republic of",Pool,Sub-Saharan Africa,0.181,0.299,65,46
COG,"Congo, Republic of",Plateaux,Sub-Saharan Africa,0.181,0.357,72.2,49.4
COG,"Congo, Republic of",Cuvette,Sub-Saharan Africa,0.181,0.246,53.4,46.1
COG,"Congo, Republic of",Cuvette-Ouest,Sub-Saharan Africa,0.181,0.312,66.5,46.9
COG,"Congo, Republic of",Sangha,Sub-Saharan Africa,0.181,0.285,55.9,51
COG,"Congo, Republic of",Likouala,Sub-Saharan Africa,0.181,0.304,67.3,45.1
COG,"Congo, Republic of",Brazzaville,Sub-Saharan Africa,0.181,0.103,24.7,41.8
COG,"Congo, Republic of",Pointe-Noire,Sub-Saharan Africa,0.181,0.094,22,42.8
COL,Colombia,"Guajira, Cesar, Magdalena",Latin America and Caribbean,0.022,0.056,12.3,45.5
COL,Colombia,Barranquilla A. M.,Latin America and Caribbean,0.022,0.009,2.5,35.9
COL,Colombia,"Atlantico, San Andres, Bolivar Norte",Latin America and Caribbean,0.022,0.012,3.3,36
COL,Colombia,"Bolivar Sur, Sucre, Cordoba",Latin America and Caribbean,0.022,0.061,14.7,41.4
COL,Colombia,Santanderes,Latin America and Caribbean,0.022,0.022,5.4,40.3
COL,Colombia,"Boyaca, Cmarca, Meta",Latin America and Caribbean,0.022,0.018,4.7,37.8
COL,Colombia,Medellin A.M.,Latin America and Caribbean,0.022,0.005,1.4,35.4
COL,Colombia,Antioquia Sin Medellin,Latin America and Caribbean,0.022,0.037,9,40.8
COL,Colombia,"Caldas, Risaralda, Quindio",Latin America and Caribbean,0.022,0.009,2.4,38.2
COL,Colombia,"Tolima, Huila, Caqueta",Latin America and Caribbean,0.022,0.027,6.5,40.7
COL,Colombia,Cali A.M.,Latin America and Caribbean,0.022,0.005,1.4,35.8
COL,Colombia,Valle Sin Cali Ni Litoral,Latin America and Caribbean,0.022,0.012,3.3,37.1
COL,Colombia,Cauca Y Nariðo Sin Litoral,Latin America and Caribbean,0.022,0.039,8.9,44.4
COL,Colombia,Litoral Pacifico,Latin America and Caribbean,0.022,0.059,14.2,41.5
COL,Colombia,Bogota,Latin America and Caribbean,0.022,0.003,0.7,35.5
COL,Colombia,Orinoquia Y Amazonia,Latin America and Caribbean,0.022,0.028,7.1,39.9
COM,Comoros,Mwali (Mohðli),Sub-Saharan Africa,0.173,0.213,45,47.3
COM,Comoros,Ndzuwani (Ndzouani or Anjouan),Sub-Saharan Africa,0.173,0.22,42.8,51.5
COM,Comoros,Ngazidja (Grande Comore),Sub-Saharan Africa,0.173,0.116,27.6,42.3
DJI,Djibouti,Djibouti,Arab States,0.139,0.125,26.8,46.8
DJI,Djibouti,Other Districts,Arab States,0.139,0.214,44,48.7
DOM,Dominican Republic,Cibao Nordeste,Latin America and Caribbean,0.034,0.028,7.5,36.9
DOM,Dominican Republic,Cibao Noroeste,Latin America and Caribbean,0.034,0.047,11.6,40.3
DOM,Dominican Republic,Cibao Norte,Latin America and Caribbean,0.034,0.028,7.6,37.2
DOM,Dominican Republic,Cibao Sur,Latin America and Caribbean,0.034,0.03,8.1,36.5
DOM,Dominican Republic,Del Yuma,Latin America and Caribbean,0.034,0.039,9.9,39.9
DOM,Dominican Republic,El Valle,Latin America and Caribbean,0.034,0.078,18,43.3
DOM,Dominican Republic,Enriquillo,Latin America and Caribbean,0.034,0.055,13.4,41.2
DOM,Dominican Republic,Higuamo,Latin America and Caribbean,0.034,0.043,10.5,40.5
DOM,Dominican Republic,Metropolitana,Latin America and Caribbean,0.034,0.028,7.5,36.7
DOM,Dominican Republic,Valdesia,Latin America and Caribbean,0.034,0.04,10.1,39.8
ECU,Ecuador,Mountains,Latin America and Caribbean,0.013,0.014,3.5,38.3
ECU,Ecuador,Coast,Latin America and Caribbean,0.013,0.01,2.6,37.6
ECU,Ecuador,Amazon,Latin America and Caribbean,0.013,0.046,11.2,41.3
ECU,Ecuador,Galapagos Island,Latin America and Caribbean,0.013,0.003,0.8,36.5
EGY,Egypt,Cairo,Arab States,0.014,0.006,1.8,33.9
EGY,Egypt,Alexandria,Arab States,0.014,0.004,1.3,33.3
EGY,Egypt,Port Said,Arab States,0.014,0.003,1,34
EGY,Egypt,Suez,Arab States,0.014,0.008,2.3,34.7
EGY,Egypt,Damietta,Arab States,0.014,0.011,3.1,37.3
EGY,Egypt,Dakahlia,Arab States,0.014,0.005,1.5,34.4
EGY,Egypt,Sharkia,Arab States,0.014,0.01,2.4,39.1
EGY,Egypt,Kalyubia,Arab States,0.014,0.005,1.4,35.4
EGY,Egypt,Kafr El-Sheikh,Arab States,0.014,0.006,1.7,34.6
EGY,Egypt,Gharbia,Arab States,0.014,0.006,1.6,36.5
EGY,Egypt,Menoufia,Arab States,0.014,0.008,2.2,37.5
EGY,Egypt,Behera,Arab States,0.014,0.012,2.9,41.8
EGY,Egypt,Ismailia,Arab States,0.014,0.009,2.5,35.5
EGY,Egypt,Giza,Arab States,0.014,0.018,4.7,37.7
EGY,Egypt,Beni Suef,Arab States,0.014,0.017,4.7,35.9
EGY,Egypt,Fayoum,Arab States,0.014,0.022,5.8,38.8
EGY,Egypt,Menya,Arab States,0.014,0.022,5.7,38.6
EGY,Egypt,Assuit,Arab States,0.014,0.038,9.6,39.4
EGY,Egypt,Souhag,Arab States,0.014,0.035,8.6,40.4
EGY,Egypt,Qena,Arab States,0.014,0.015,4.2,35.4
EGY,Egypt,Aswan,Arab States,0.014,0.013,3.4,37.8
EGY,Egypt,Luxor,Arab States,0.014,0.015,4,38.4
EGY,Egypt,Red Sea,Arab States,0.014,0.015,3.7,41
EGY,Egypt,New Valley,Arab States,0.014,0.003,0.8,38.9
EGY,Egypt,Matroh,Arab States,0.014,0.036,8.8,40.7
ETH,Ethiopia,Tigray,Sub-Saharan Africa,0.564,0.537,85.4,63
ETH,Ethiopia,Affar,Sub-Saharan Africa,0.564,0.663,90.9,72.9
ETH,Ethiopia,Amhara,Sub-Saharan Africa,0.564,0.588,90.1,65.2
ETH,Ethiopia,Oromiya,Sub-Saharan Africa,0.564,0.592,91.2,64.8
ETH,Ethiopia,Somali,Sub-Saharan Africa,0.564,0.647,93,69.6
ETH,Ethiopia,Benishangul-Gumuz,Sub-Saharan Africa,0.564,0.584,89.8,65.1
ETH,Ethiopia,"Southern Nations, Nationalities, and People's Region",Sub-Saharan Africa,0.564,0.574,89.7,64
ETH,Ethiopia,Gambela,Sub-Saharan Africa,0.564,0.474,81.2,58.4
ETH,Ethiopia,Harari,Sub-Saharan Africa,0.564,0.333,57.9,57.4
ETH,Ethiopia,Addis Ababa,Sub-Saharan Africa,0.564,0.085,20,42.4
ETH,Ethiopia,Dire Dawa,Sub-Saharan Africa,0.564,0.338,54.9,61.6
GAB,Gabon,Libreville/Port-Gentil,Sub-Saharan Africa,0.07,0.024,6.5,36.5
GAB,Gabon,Estuaire (sans Libreville),Sub-Saharan Africa,0.07,0.063,16.2,39.2
GAB,Gabon,Haut-Ogoouð,Sub-Saharan Africa,0.07,0.092,21.1,43.6
GAB,Gabon,Moyen-Ogoouð,Sub-Saharan Africa,0.07,0.138,30.9,44.7
GAB,Gabon,Ngounið,Sub-Saharan Africa,0.07,0.184,40.8,45.2
GAB,Gabon,Nyanga,Sub-Saharan Africa,0.07,0.16,37.3,43
GAB,Gabon,Ogoouð Maritime (sans Port-Gentil),Sub-Saharan Africa,0.07,0.076,17.9,42.5
GAB,Gabon,Ogoouð-Ivindo,Sub-Saharan Africa,0.07,0.264,53.7,49
GAB,Gabon,Ogoouð-Lolo,Sub-Saharan Africa,0.07,0.152,33.3,45.6
GAB,Gabon,Woleu-Nðtem,Sub-Saharan Africa,0.07,0.096,23.3,41.2
GHA,Ghana,Ashanti,Sub-Saharan Africa,0.156,0.101,22.7,44.4
GHA,Ghana,Brong Ahafo,Sub-Saharan Africa,0.156,0.16,36.8,43.5
GHA,Ghana,Central,Sub-Saharan Africa,0.156,0.171,36,47.4
GHA,Ghana,Eastern,Sub-Saharan Africa,0.156,0.155,34.2,45.5
GHA,Ghana,Greater Accra,Sub-Saharan Africa,0.156,0.058,14.2,41
GHA,Ghana,Northern,Sub-Saharan Africa,0.156,0.382,73.8,51.8
GHA,Ghana,Upper East,Sub-Saharan Africa,0.156,0.289,61.6,47
GHA,Ghana,Upper West,Sub-Saharan Africa,0.156,0.259,54.3,47.8
GHA,Ghana,Volta,Sub-Saharan Africa,0.156,0.138,31.8,43.5
GHA,Ghana,Western,Sub-Saharan Africa,0.156,0.122,28.4,42.9
GIN,Guinea,Bokð,Sub-Saharan Africa,0.459,0.418,72.1,58
GIN,Guinea,Conakry,Sub-Saharan Africa,0.459,0.122,27.8,43.7
GIN,Guinea,Faranah,Sub-Saharan Africa,0.459,0.599,92.2,64.9
GIN,Guinea,Kankan,Sub-Saharan Africa,0.459,0.603,90.6,66.6
GIN,Guinea,Kindia,Sub-Saharan Africa,0.459,0.503,79.6,63.2
GIN,Guinea,Labð,Sub-Saharan Africa,0.459,0.554,89,62.3
GIN,Guinea,Mamou,Sub-Saharan Africa,0.459,0.531,84.7,62.7
GIN,Guinea,N'Zðrðkorð,Sub-Saharan Africa,0.459,0.509,87.2,58.4
GMB,Gambia,Banjul,Sub-Saharan Africa,0.323,0.095,21.1,45
GMB,Gambia,Kanifing,Sub-Saharan Africa,0.323,0.157,32.7,48.2
GMB,Gambia,Brikama,Sub-Saharan Africa,0.323,0.242,50.6,47.7
GMB,Gambia,Mansakonko,Sub-Saharan Africa,0.323,0.352,72.8,48.3
GMB,Gambia,Kerewan,Sub-Saharan Africa,0.323,0.397,71.1,55.9
GMB,Gambia,Kuntaur,Sub-Saharan Africa,0.323,0.555,91.9,60.4
GMB,Gambia,Janjanbureh,Sub-Saharan Africa,0.323,0.46,78.9,58.2
GMB,Gambia,Basse,Sub-Saharan Africa,0.323,0.524,89.2,58.7
GNB,Guinea-Bissau,Bafata,Sub-Saharan Africa,0.371,0.545,86.6,62.9
GNB,Guinea-Bissau,Biombo,Sub-Saharan Africa,0.371,0.382,72.2,52.8
GNB,Guinea-Bissau,Bolama,Sub-Saharan Africa,0.371,0.352,69,51
GNB,Guinea-Bissau,Cacheu,Sub-Saharan Africa,0.371,0.335,68.1,49.2
GNB,Guinea-Bissau,Gabu,Sub-Saharan Africa,0.371,0.544,87.1,62.5
GNB,Guinea-Bissau,Oio,Sub-Saharan Africa,0.371,0.505,84.1,60.1
GNB,Guinea-Bissau,Quinara,Sub-Saharan Africa,0.371,0.414,76.9,53.8
GNB,Guinea-Bissau,Tombali,Sub-Saharan Africa,0.371,0.43,79.5,54.1
GNB,Guinea-Bissau,Sab,Sub-Saharan Africa,0.371,0.163,37.1,44
GTM,Guatemala,Alta Verapaz,Latin America and Caribbean,0.113,0.214,47,45.6
GTM,Guatemala,Baja Verapaz,Latin America and Caribbean,0.113,0.147,31.9,46
GTM,Guatemala,Chimaltenango,Latin America and Caribbean,0.113,0.082,18.4,44.7
GTM,Guatemala,Chiquimula,Latin America and Caribbean,0.113,0.2,40.8,48.9
GTM,Guatemala,El Progreso,Latin America and Caribbean,0.113,0.07,15.6,45.2
GTM,Guatemala,Escuintla,Latin America and Caribbean,0.113,0.067,16.1,41.5
GTM,Guatemala,Guatemala Municipio,Latin America and Caribbean,0.113,0.014,3.3,42.7
