Country Code,"GNI per capita, PPP (constant 2011 international $)",Lifetime risk of maternal death (%),"Life expectancy at birth, total (years)",Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)","School enrollment, primary (% gross)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","School enrollment, tertiary (% gross)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)"
TSA,5021.985899,0.528087655,68.11628683,75.10159615,43.28033001,109.0774231,112.5073776,105.9638138,64.79342651,64.41806793,65.13510132,20.83864021,19.94732094,21.65908051
SSF,3334.336473,2.868546689,58.53712295,70.87121206,57.93241173,98.4267807,94.76943207,102.0111008,42.742939,39.53974152,45.86878967,8.59348011,7.242760181,9.926989555
SSA,3332.478336,2.868546689,58.53575125,70.86234632,57.9,98.42648315,94.7689209,102.0110168,42.74071884,39.53725815,45.8667984,8.593660355,7.242589951,9.927510262
TSS,3334.336473,2.868546689,58.53712295,70.87121206,57.93241173,98.4267807,94.76943207,102.0111008,42.742939,39.53974152,45.86878967,8.59348011,7.242760181,9.926989555
UMC,0,0.078187807,74.66928539,105.4560741,15.3,105.4714813,104.2600784,106.5780182,94.22823334,95.68578339,92.88803101,44.33522034,48.23619843,40.70127869
WLD,14050.33484,0.574321331,71.45898205,96.85408351,32.6,104.1473007,103.8493576,104.4257278,76.44637299,76.01239014,76.85157013,34.98331833,36.90399933,33.17298126
AFG,0,2.153191318,60.37446341,58.84547053,68.1,111.744133,91.75787354,130.6878815,55.65615845,39.67480087,70.74720001,8.662799835,3.673290014,13.2865696
ALB,10593.3002,0.05287837,77.83046341,105.4699657,12.9,112.4866409,111.1672592,113.6986237,96.42608643,92.60621643,100.0258484,62.70684814,73.8269577,52.42961121
DZA,13134.6399,0.430674102,74.80809756,108.4380562,22,118.7494736,115.1333466,122.2560806,0,0,0,34.59381104,41.93188095,27.46730042
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,0,0,0,82.64319489,2.1,0,0,0,0,0,0,0,0,0
AGO,0,3.231173547,52.26687805,63.4792082,98.8,0,0,0,0,0,0,0,0,0
ATG,18966.34573,0,75.93763415,132.0539476,6.1,97.10739899,93.30918884,100.9179611,102.318222,102.8447037,101.8036118,0,0,0
ARG,18429.20599,0.130655156,76.15860976,146.4823886,11.5,109.9888916,109.7613831,110.2087708,106.7779007,110.3069077,103.3639984,82.91738892,102.899437,63.5388298
ARM,8320.971866,0.04483644,74.67570732,115.9232102,13.2,0,0,0,0,0,0,44.25460815,48.49568939,40.05559921
ABW,0,0,75.45109756,135.0658893,0,117.3180389,115.4296875,119.1290131,0,0,0,16.4054203,23.04323959,10.14455032
AUS,42315.55695,0.011828061,82.3,131.2305468,3.2,106.0756989,105.7586899,106.3766937,137.5647888,133.6292725,141.2540131,90.3065033,106.3088074,75.4020462
AUT,44213.17209,0.005466816,81.4902439,151.9112515,3,102.2489777,101.6983566,102.7756424,99.29640198,96.92626953,101.5699387,79.99864197,87.60204315,72.79084015
AZE,16514.30066,0.064405172,70.76321951,110.9053634,28.9,106.0598907,105.4929504,106.5559235,0,0,0,23.15973091,24.75322914,21.67637062
BHS,21201.48126,0.156838153,75.23365854,82.29635806,10.2,0,0,0,0,0,0,0,0,0
BHR,37115.28607,0.034418745,76.68326829,173.2739335,5.6,99.68023682,100.4559784,98.93917084,98.8924408,99.32642365,98.48001862,41.30863953,57.60572815,29.03906059
BGD,3172.005625,0.458409571,71.62590244,80.03535051,32.1,0,0,0,0,0,0,13.44079971,11.3874197,15.43412018
BRB,14604.52619,0.047929285,75.49641463,106.7781561,12.3,93.62728119,94.16689301,93.11710358,109.2475662,110.6809769,107.8758926,0,0,0
BLR,17301.94706,0.007170106,72.97073171,122.5011386,3.5,98.96627808,99.05712128,98.88014984,107.0317993,106.0989532,107.9138031,88.85703278,101.9697495,76.45915222
BEL,41576.91845,0.012833732,81.28780488,114.2699575,3.4,104.8543167,104.9221802,104.7894669,164.8117371,175.3804932,154.6709747,73.31880188,83.36136627,63.62202072
BLZ,7372.771537,0.080164392,70.07743902,50.712566,14.6,111.7301865,108.9500275,114.4422302,79.8772583,81.70604706,78.05349731,0,0,0
BEN,1987.971014,2.046315507,59.51058537,81.70596565,65.7,125.561203,119.9226074,131.1039276,54.36360168,43.85776138,64.81314087,0,0,0
BMU,0,0,80.79731707,90.88006599,0,87.47599792,86.06166077,88.84227753,72.62242889,77.43331146,67.95947266,27.45973015,36.08039856,19.07089996
BTN,6862.578676,0.351336098,69.4712439,81.57982737,28.3,102.1316986,102.8738022,101.4104309,84.19769287,87.05632782,81.4165802,0,0,0
BOL,6013.544398,0.681026297,68.344,96.33724828,31.7,97.35877228,95.84375,98.82227325,85.37963104,84.9471283,85.79897308,0,0,0
BIH,10572.42862,0.015045922,76.4332439,91.27895029,5.4,0,0,0,0,0,0,0,0,0
BWA,15566.75372,0.39652822,64.4292439,167.2975939,35.6,107.6304932,105.8012085,109.4278564,0,0,0,25.03587914,27.83021927,22.27499008
BRA,15076.56936,0.084683687,74.40187805,138.9514906,14.4,111.0638733,108.9931335,113.0371475,101.9508972,105.7856674,98.31359863,49.27983856,56.71646881,41.90642166
VGB,0,0,0,165.2685386,0,97.58785248,0,0,97.73732758,0,0,0,0,0
BRN,76314.81083,0.045816912,78.80958537,106.8167909,8.5,107.4440308,107.5561066,107.3380508,99.11621094,99.10092163,99.13040161,31.72533989,40.12485123,23.78088951
BGR,16170.45428,0.016072827,74.46585366,132.351139,9.7,99.0790329,98.74990845,99.38900757,100.8792877,99.04419708,102.6095581,70.78562927,78.98544312,63.02148056
BFA,1485.885657,2.148950186,58.58846341,71.7259882,62.2,86.89006805,85.09131622,88.65016937,30.33526993,28.22839928,32.37174988,0,0,0
BDI,803.474002,4.431196561,56.69202439,30.46201036,55.8,127.6357727,128.4258881,126.8340683,37.88898087,34.82329941,41.06225967,4.966060162,2.407860041,7.680290222
CPV,0,0.117173145,73.147,121.7897017,21.3,113.1533585,109.9069672,116.2951431,92.57946777,98.50047302,86.7670517,22.98217964,26.75196075,19.12855911
KHM,2935.319844,0.496150656,68.21229268,132.7337981,26.3,116.3896408,113.1353073,119.5689926,0,0,0,0,0,0
CMR,2877.331123,2.989368401,55.4927561,75.6851331,58.6,113.5502396,106.8850327,120.1291885,56.43072891,51.86019897,60.9487381,16.00612068,14.01858997,17.98059082
CAN,42249.80486,0.011610238,81.95660976,81.0393165,4.4,0,0,0,0,0,0,0,0,0
CYM,0,0,0,153.7483538,0,0,0,0,0,0,0,0,0,0
CAF,604.3462228,3.671398303,50.65778049,24.53960893,93.5,0,0,0,0,0,0,0,0,0
TCD,1984.478235,5.744557497,51.55580488,39.75097997,86.7,0,0,0,0,0,0,3.445389986,1.133000016,5.739369869
CHI,0,0,80.6064878,0,0,0,0,0,0,0,0,0,0,0
CHL,21480.02133,0.040448066,81.49619512,133.240814,7.2,100.5261383,98.85153198,102.1446533,100.4045486,101.2064285,99.63568115,86.63069916,92.27861023,81.25270844
CHN,0,0.04379777,75.78226829,92.27349082,9.8,103.9189682,104.0123215,103.8384933,94.3320694,95.44489288,93.35311127,39.39038849,42.53358841,36.56567001
COL,12320.6237,0.130029566,73.99314634,113.0811454,14.1,113.7466202,111.742363,115.6691818,98.76190948,102.6040726,95.07144165,53.27893829,57.14535141,49.53564835
COM,1435.055194,1.581311415,63.25685366,50.90120382,56.6,103.1701508,99.45938873,106.7561035,60.35041046,62.3778801,58.38940048,8.928420067,7.989510059,9.8394804
COD,668.1870651,4.283054345,58.65919512,53.49321638,76.5,106.9730911,101.8444824,112.0332108,43.50521088,33.32912827,53.59997177,0,0,0
COG,5777.952988,2.300194781,62.31114634,108.1495742,34.4,0,0,0,0,0,0,0,0,0
CRI,13789.01651,0.049084146,79.40270732,142.1782166,8.6,110.7868729,110.2859802,111.2652512,120.3266525,123.6083298,117.1872635,53.03828049,58.78327179,47.5215416
CIV,2976.740039,3.300266602,51.55958537,106.2476093,68.5,89.60569,83.58779144,95.5528717,40.13216019,33.1843605,46.97079086,8.680210114,6.392859936,10.92873001
HRV,19731.19973,0.013122309,77.47804878,104.4313214,3.8,98.87487793,98.71389771,99.02719879,98.99999237,100.8856201,97.21095276,69.54415131,80.72074127,58.83813858
CUB,0,0.057716553,79.39082927,22.47839584,4.1,98.11347198,95.83267975,100.2567902,99.66513062,101.4098969,98.04547119,40.99975967,0,0
CUW,0,0,77.82439024,118.9902123,0,0,0,0,0,0,0,0,0,0
CYP,28621.49992,0.010779608,80.13156098,96.33531011,2.6,99.15271759,99.58708191,98.74593353,99.41673279,99.45568848,99.37944031,53.10435104,62.59883118,44.10309982
CZE,27114.79454,0.006706188,78.82439024,129.539048,2.9,98.8651886,98.87825012,98.85279846,105.1258469,105.3878784,104.8774872,66.01725769,77.38928986,55.2007103
DNK,46727.17501,0.010709943,80.7,126.9503442,3,101.3319931,100.6595612,101.9755173,129.8680267,132.1924438,127.6588821,81.51647186,95.38780975,68.19857025
DJI,0,0.732466846,62.0155122,32.38686559,55.8,67.95456696,63.26298904,72.52848053,46.35290909,41.45930862,51.12591171,0,0,0
DMA,10040.64898,0,0,102.1357183,19.5,117.9491119,117.99189,117.907753,0,0,0,0,0,0
DOM,12013.50378,0.267658777,73.50002439,78.86382636,26.2,100.6534882,95.72463226,105.4117126,78.35604095,82.38585663,74.42707825,47.51575851,58.83895111,36.34923935
ECU,10756.11177,0.18052773,75.8724878,103.8991648,19,113.3072662,113.4910507,113.1309128,104.4767914,106.5812607,102.4462585,0,0,0
EGY,9848.819265,0.129079367,71.12170732,114.3059858,21,103.9297333,103.7741699,104.0762024,86.10231781,85.8611908,86.33126068,31.67898941,29.91510963,33.36832809
SLV,7388.683688,0.113748608,72.75456098,144.0115781,14.9,112.1894226,109.7239075,114.5538483,81.1161499,81.32118225,80.91417694,28.85296059,30.12071991,27.52172089
GNQ,21759.99257,1.698909037,57.64704878,66.38811096,70.3,0,0,0,0,0,0,0,0,0
ERI,0,2.482419113,63.66302439,6.38599695,35,51.19477081,47.14608002,55.07584,34.75437164,31.25596046,38.13628006,2.565380096,1.698650002,3.417929888
EST,26219.62763,0.015526107,77.03414634,147.8107077,2.5,99.2646637,99.02259064,99.49414063,110.4064789,110.0609283,110.7336121,71.37690735,86.74562073,57.01000977
ETH,1420.368164,1.708577845,64.03502439,31.59388039,42.9,100.1229095,95.8225708,104.3373337,0,0,0,8.126040459,5.26680994,10.93976021
FRO,0,0,81.48536585,117.8366357,0,0,0,0,0,0,0,0,0,0
FJI,0,0.084245909,70.08912195,98.77670015,19.4,0,0,0,0,0,0,0,0,0
FIN,39372.55608,0.004670722,81.1804878,139.6638962,2,101.4284363,101.39991,101.4556503,145.4836884,152.122757,139.1076202,88.67154694,97.19371033,80.50579071
FRA,38031.68533,0.016793024,82.67073171,101.2124157,3.6,105.3583603,104.9710464,105.7292404,110.6440125,111.2345734,110.0791168,64.39047241,71.0006485,57.92618942
PYF,0,0,76.54168293,91.16908178,0,0,0,0,0,0,0,0,0,0
GAB,16978.37067,1.212658864,64.38339024,171.375053,37,0,0,0,0,0,0,0,0,0
GMB,1506.675911,4.228166469,60.22843902,119.6304887,48.6,88.51078796,90.82814789,86.22583771,0,0,0,0,0,0
GEO,8670.129902,0.069491132,74.66863415,124.9355401,11.3,116.8619614,117.5431519,116.2685394,99.43003845,99.60308075,99.27192688,39.17866898,43.69020081,34.78506088
DEU,44390.52641,0.00856142,81.0902439,120.4201855,3.2,103.33461,102.9817276,103.6696777,102.429863,99.51828003,105.1990738,65.47380066,63.25460815,67.61180115
GHA,3699.891371,1.373087016,61.31163415,114.8194789,44.2,106.4636612,106.4022827,106.522583,57.9407692,56.05635071,59.74739075,15.89387989,12.64134979,19.05426979
GIB,0,0,0,129.5380944,0,0,0,0,0,0,0,0,0,0
GRC,24038.85642,0.004275117,81.43658537,109.131534,3.7,97.62001801,97.10585785,98.10948944,106.4993591,103.3957367,109.4783478,113.871788,113.7100677,114.0255966
GRL,0,0,0,106.3606466,0,0,0,0,0,0,0,0,0,0
GRD,0,0.0676884,73.36631707,110.204792,11.1,103.1267319,102.2528381,103.9568863,100.8493881,100.5079422,101.176712,0,0,0
GUM,0,0,79.12602439,0,0,0,0,0,0,0,0,0,0,0
GTM,6953.939217,0.330562969,71.72241463,106.6337703,25.1,103.5915985,101.5921402,105.5241394,63.53115845,61.50231171,65.50940704,0,0,0
GIN,1125.886167,3.560125958,58.73343902,72.09875075,62.8,91.25817871,83.79663849,98.58599854,38.82326889,30.69157028,46.79014969,10.84932995,6.679959774,14.93550968
GNB,0,2.67563512,55.16004878,63.48369055,62.4,0,0,0,0,0,0,0,0,0
GUY,0,0.592479897,66.40641463,70.53891053,32.6,0,0,0,0,0,0,0,0,0
HTI,1662.27722,1.146712428,62.74743902,64.70745958,53.5,0,0,0,0,0,0,0,0,0
HND,3905.746932,0.352049034,73.13570732,93.51563642,18,109.1496277,108.0323105,110.2272415,68.38008881,73.73294067,63.18817902,21.18413925,24.38990974,18.04080963
HKG,53780.25453,0,83.9804878,233.6151774,0,0,0,0,100.6335983,98.61489105,102.5349579,68.7787323,73.76381683,64.00663757
HUN,23009.10149,0.022588504,75.76341463,118.0538283,5.3,101.5117493,100.9148865,102.0783386,106.9843597,107.1066818,106.8680725,53.19281006,60.03271866,46.63442993
ISL,40703.87108,0.006979202,82.86097561,111.0801927,1.6,0,0,0,0,0,0,0,0,0
IND,5326.993848,0.477453266,68.01380488,74.48376991,39.3,107.9214325,114.0862885,102.405159,74.2754364,74.79177856,73.81169891,25.53544998,25.30591011,25.74317932
IDN,9673.900079,0.336565118,68.8884878,128.7844341,23.6,105.7409592,104.4599304,106.9471893,82.46869659,82.16184998,82.76056671,31.10210037,32.81573105,29.42596054
IRN,16486.09488,0.051811566,75.38931707,87.79273111,13.9,109.1840897,111.5956726,106.86586,88.4066391,87.90242004,88.8682785,65.95755005,63.64316177,68.17946625
IRQ,0,0.245101754,69.39968293,94.9127868,27.2,0,0,0,0,0,0,0,0,0
IRL,41746.95599,0.016537785,81.34878049,105.0302095,3.1,102.1174622,102.5718231,101.688652,127.2033005,128.6721649,125.8053513,77.62693787,80.30928802,75.06623077
IMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,31439.7522,0.016700845,82.15365854,121.4506526,3.3,104.1763687,104.3748016,103.9881592,101.8636475,102.6643219,101.1054001,66.1810379,76.16960907,56.67763901
ITA,33946.41874,0.005109857,83.0902439,154.29181,3,101.540741,101.0766296,101.9801178,102.624939,101.4576035,103.731987,63.0958519,73.47612,53.2188797
JAM,7877.450966,0.199065558,75.6535122,107.3835311,13.9,0,0,0,83.0246582,86.33043671,79.87458801,0,0,0
JPN,38658.26207,0.007590896,83.58780488,122.1577296,2.1,101.2246475,101.1876068,101.2599182,101.7456131,101.9092331,101.5897675,63.36259079,60.88127899,65.73200989
JOR,8524.755662,0.211368656,74.05214634,147.803889,15.8,97.34287262,97.61116791,97.08525848,82.44554138,84.80770111,80.18608093,0,0,0
KAZ,21383.25638,0.035345784,71.62,172.1913053,13.5,111.3487701,111.3404007,111.35672,105.4827194,106.8408737,104.190033,48.47533035,54.16904068,42.87960815
KEN,2714.752577,2.460345994,61.57636585,73.84324808,36.6,111.3958588,111.5767975,111.2170563,0,0,0,0,0,0
KIR,0,0.348165099,65.95168293,28.8622501,44.6,113.1121216,115.1820374,111.1593781,0,0,0,0,0,0
PRK,0,0.155911443,70.07468293,11.18810123,20.7,0,0,0,0,0,0,0,0,0
KOR,33534.04513,0.014330236,82.15585366,115.7099812,3,98.96880341,98.52826691,99.38007355,98.45323181,97.95892334,98.90847778,94.21021271,80.61351776,106.3461685
XKX,8821.307426,0,71.09756098,0,0,0,0,0,0,0,0,0,0,0
KWT,76969.03203,0.009974979,74.58502439,218.4302852,7.7,102.6835098,103.0250015,102.3585892,93.60362244,98.90866089,88.86593628,0,0,0
KGZ,3029.099825,0.2642816,70.40243902,134.4608681,20.1,107.6717987,107.0264282,108.2941208,90.78166962,91.17877197,90.40028381,45.91783142,52.07999039,39.940979
LAO,0,0.728084552,66.11736585,66.99333256,52.3,116.3394928,113.4926605,119.0789566,57.23596954,54.57286835,59.82027054,17.29194069,16.68906975,17.88129044
LVA,22200.06564,0.0278698,74.12439024,116.7991354,7.2,100.4082108,99.97312927,100.8244629,115.3598022,114.0094299,116.6301422,67.03972626,79.22167969,55.4752388
LBN,13322.56051,0.02882737,79.37309756,88.34778452,7.3,94.11962128,89.99226379,98.33827972,61.66709137,61.82022095,61.5057106,42.77283096,45.74607849,39.54220963
LSO,2947.060342,1.716442542,49.70058537,101.9679515,70.5,107.0942078,105.8454971,108.323082,52.17121124,60.41614914,44.08929062,9.842200279,11.69215965,8.044739723
LBR,701.5866383,3.67940752,60.83441463,73.35344914,54.7,95.64746857,91.59002686,99.54669952,37.87348175,33.1166687,42.47663879,0,0,0
LBY,0,0.02399726,71.71612195,161.1206099,11.9,0,0,0,0,0,0,0,0,0
LIE,0,0,82.07317073,109.2971985,0,102.6609879,102.2556381,103.0590668,115.5578308,103.2742233,127.8498306,37.4887085,24.14105034,50.81227112
LTU,25904.1255,0.015157555,74.51707317,141.8611987,3.6,102.4602203,102.6070709,102.320549,106.8218307,104.6170425,108.9037704,68.53141022,82.00817108,55.82434845
LUX,67580.77717,0.015963573,82.22926829,149.4892513,1.6,97.13008881,97.33228302,96.93969727,102.2624588,103.4754868,101.1131897,0,0,0
MAC,111885.1045,0,80.55309756,322.5915365,0,96.72123718,96.32424164,97.09102631,96.06497192,95.04367828,97.02194214,69.35510254,78.64935303,60.15428162
MKD,12059.78698,0.011802221,75.34239024,105.5019507,5.2,90.40830231,89.64730835,91.13166809,78.57904816,77.08357239,80.00502777,39.59420013,44.2541008,35.15903091
MDG,1334.42488,1.761597007,65.08560976,41.20948014,37,146.744812,146.5419769,146.9455261,38.43492889,38.06079865,38.80921173,4.775559902,4.571529865,4.98071003
MWI,1060.925885,3.524299167,62.72163415,33.46880863,45.1,146.5065308,147.9642029,145.0593414,39.49206924,37.54069901,41.43790817,0,0,0
MYS,23404.19988,0.084935949,74.71829268,148.8298489,6.2,102.7663193,102.9049911,102.6351929,77.74965668,80.6654892,75.01143646,27.60483932,33.16424942,22.52182007
MDV,0,0.172928353,76.77282927,189.3831136,7.8,0,0,0,0,0,0,16.22738075,20.25247002,12.39595985
MLI,1816.680736,3.877062012,57.98626829,149.0691312,75.9,77.19281006,72.9769516,81.23410797,43.51115036,37.36518097,49.39196014,0,0,0
MLT,30836.0681,0.012476208,81.94634146,126.9868835,5.2,101.9049988,102.7591019,101.1011581,94.25666809,96.47112274,92.17796326,44.68619919,50.88261032,38.92498016
MHL,0,0,0,29.37163647,30.2,0,0,0,0,0,0,0,0,0
MRT,3589.957188,2.907656222,63.01658537,94.19928487,66.1,97.97109985,100.6721497,95.34767914,29.9353199,28.58490944,31.24729919,0,0,0
MUS,17836.33415,0.078887853,74.19439024,132.2498241,12.2,102.6977768,103.729393,101.7059174,97.93816376,98.98616028,96.92430115,38.67412186,42.69358063,34.71960831
MEX,16330.7761,0.093759391,76.72185366,84.65182433,11.9,103.3891983,103.1543732,103.6149826,90.54969025,93.46494293,87.72532654,29.9409008,30.03022957,29.85437012
FSM,0,0.333613979,69.10107317,0,29.4,97.63204956,97.18049622,98.05161285,0,0,0,0,0,0
MDA,5241.932448,0.03252321,71.45587805,107.9952216,13.9,93.06421661,92.85932159,93.25784302,87.32076263,87.88926697,86.78095245,41.4896698,47.27735901,35.91996002
MCO,0,0,0,88.46477171,2.9,0,0,0,0,0,0,0,0,0
MNG,10443.19415,0.132944545,69.46390244,105.0609857,19.9,101.6784286,100.6382828,102.6964798,0,0,0,64.27417755,75.91596222,52.89355087
MNE,14997.6445,0.012378385,76.18070732,163.0293689,4.6,0,0,0,0,0,0,0,0,0
MAR,6899.641381,0.327363391,74.01609756,131.713056,24.6,116.1342468,113.395462,118.7394333,0,0,0,25.12491989,24.68095016,25.55619049
MOZ,1065.755728,2.653755887,55.02595122,69.81699867,58.5,104.7789383,100.2787399,109.2567368,32.08763123,30.53087997,33.64710999,5.974720001,4.973629951,6.986320019
MMR,4570.927419,0.402535082,65.85785366,54.03928721,40.7,99.65828705,98.29355621,101.0052109,51.29608917,51.95190048,50.64545822,0,0,0
